Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count
10/25/2018,Wells Fargo Center,,"Philadelphia, Pennsylvania, United States",39.9525839,-75.1652215,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Day That Never Comes', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Phantom Lord', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,2,1,0,1,0,0,1,4
10/22/2018,Spectrum Center,,"Charlotte, North Carolina, United States",35.2270869,-80.8431267,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,1,1,4,0,0,0,0,0,4
10/20/2018,Bryce Jordan Center,,"State College, Pennsylvania, United States",40.7933949,-77.8600012,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,1,1,2,0,1,0,0,0,5
10/18/2018,Ppg Paints Arena,,"Pittsburgh, Pennsylvania, United States",40.4406248,-79.9958864,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,1,3,0,1,0,0,0,4
10/16/2018,Fiserv Forum,,"Milwaukee, Wisconsin, United States",43.0389025,-87.9064736,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,1,2,2,0,1,0,0,0,4
10/13/2018,Zilker Park,Austin City Limits,"Austin, Texas, United States",30.267153,-97.7430608,WorldWired,"['Hardwired', 'Creeping Death', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'For Whom the Bell Tolls', 'Halo On Fire', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,16,"['Paul McCartney', 'Childish Gambino', 'Arctic Monkeys', 'David Byrne', 'and St. Vincent']",False,False,False,False,False,0,2,1,1,3,0,1,0,0,0,4
10/6/2018,Zilker Park,Austin City Limits,"Austin, Texas, United States",30.267153,-97.7430608,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'For Whom the Bell Tolls', 'Fade to Black', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,16,"['Paul McCartney', 'Childish Gambino', 'Arctic Monkeys', 'Deftones', 'David Byrne', 'St. Vincent and Greta Van Fleet']",False,False,False,False,False,0,3,2,1,1,0,1,0,0,0,4
9/26/2018,City Hall At Civic Center Plaza,Dreamfest,"San Francisco, California, United States",37.7749295,-122.4194155,,"['Hardwired', 'Creeping Death', 'Seek and Destroy', 'For Whom the Bell Tolls', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Fade to Black', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,13,,False,False,False,False,False,0,3,1,1,2,0,0,0,0,0,3
9/15/2018,Sasktel Centre,,"Saskatoon, Saskatchewan, Canada",52.1332144,-106.6700458,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Hit the Lights', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,2,2,2,2,0,1,0,0,0,4
9/13/2018,Bell Mts Place,,"Winnipeg, Manitoba, Canada",49.895136,-97.1383744,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Four Horsemen', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,1,1,2,0,1,0,0,0,5
9/11/2018,Denny Sanford Premier Center,,"Sioux Falls, South Dakota, United States",43.5473028,-96.728333,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Fade to Black', 'Whiplash', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,1,1,3,0,1,0,0,0,4
9/8/2018,Alerus Center,,"Grand Forks, North Dakota, United States",47.9252568,-97.0328547,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Ride the Lightning', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,2,1,2,0,0,0,0,0,5
9/6/2018,Pinnacle Bank Arena,,"Lincoln, Nebraska, United States",40.813616,-96.7025955,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Memory Remains', 'The Unforgiven III', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,1,3,1,1,1,0,2,0,0,1,4
9/4/2018,Target Center,,"Minneapolis, Minnesota, United States",44.977753,-93.2650108,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'No Leaf Clover', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,0,2,1,2,1,0,1,1,0,0,5
9/2/2018,Kohl Center,,"Madison, Wisconsin, United States",43.0730517,-89.4012302,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Cyanide', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,,False,False,False,False,False,0,2,1,1,1,0,1,0,0,1,6
5/11/2018,Hartwall Arena,,"Helsinki, Finland",60.1698557,24.9383791,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,1,2,2,1,1,0,0,0,0,0,6
5/9/2018,Hartwall Arena,,"Helsinki, Finland",60.1698557,24.9383791,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,0,2,1,2,1,0,1,1,0,0,6
5/7/2018,Ericsson Globe,,"Stockholm, Sweden",59.3293235,18.0685808,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,1,1,2,1,1,0,1,1,0,0,6
5/5/2018,Ericsson Globe,,"Stockholm, Sweden",59.3293235,18.0685808,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Stone Cold Crazy', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,1,2,1,1,2,0,0,1,0,0,6
5/2/2018,Telenor Arena,,"Oslo, Norway",59.9138688,10.7522454,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,1,2,2,1,1,0,0,0,0,0,6
4/30/2018,Arena Leipzig,,"Leipzig, Germany",51.3396955,12.3730747,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,0,2,1,2,1,0,1,1,0,0,6
4/28/2018,Tauron Arena,,"Kraków, Poland",50.0646501,19.9449799,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Fade to Black', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,1,3,1,1,1,0,0,1,0,0,6
4/26/2018,Olympiahalle,,"Munich, Germany",48.1351253,11.5819805,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Wait', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,0,1,2,1,2,0,1,1,0,0,6
4/23/2018,Metallica Night With The San Francisco Giants At At&T Park,,"San Francisco, California, United States",37.7749295,-122.4194155,,['The Star-Spangled Banner'],The Star-Spangled Banner,[],,0,1,,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0
4/11/2018,Palexpo,,"Geneva, Switzerland",46.2043907,6.1431577,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,1,1,2,1,1,0,1,0,0,0,6
4/9/2018,Schleyerhalle,,"Stuttgart, Germany",48.7758459,9.1829321,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out the Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1,18,['Kvelertak'],False,False,False,False,False,1,1,1,1,2,0,1,1,0,0,6
