Date,City_Country,State,Country,Latitude,Longitude,Tour,Encores_Count,Set_Length,Kill_Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,1 Track,2 Track,3 Track,4 Track,5 Track,6 Track,7 Track,8 Track,9 Track,10 Track,11 Track,12 Track,13 Track,14 Track,15 Track,16 Track,17 Track,18 Track,19 Track,20 Track,21 Track,22 Track,Last_track_Set,1 Encore,2 Encore,3 Encore,4 Encore,Last_track_Encore
28.01.2010,Porto Alegre,,Brazil,-30.0346471,-51.2176584,World Magnetic,1,18,0,4,2,1,3,0,1,0,0,4,0,Creeping Death,For Whom the Bell Tolls,Ride the Lightning,The Memory Remains,Fade to Black,That Was Just Your Life,The End of the Line,The Day That Never Comes,Sad But True,Cyanide,One,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,,Seek and Destroy
26.01.2010,Santiago,,Chile,-33.4488897,-70.6692655,World Magnetic,1,18,1,4,1,2,3,0,0,0,0,4,0,Creeping Death,For Whom the Bell Tolls,The Four Horsemen,Harvester of Sorrow,Fade to Black,That Was Just Your Life,The End of the Line,Sad But True,Broken,Beat & Scarred,Cyanide,One,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
24.01.2010,Cordoba,,Argentina,-31.4200833,-64.1887761,World Magnetic,1,18,1,1,3,1,5,0,0,0,0,4,0,Creeping Death,No Remorse,Holier Than Thou,Of Wolf and Man,Welcome Home (Sanitarium),That Was Just Your Life,The End of the Line,Sad But True,Cyanide,My Apocalypse,One,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
22.01.2010,Buenos Aires,,Argentina,-34.6036844,-58.3815591,World Magnetic,1,18,1,3,2,1,3,0,1,0,0,4,0,Creeping Death,Ride the Lightning,Fuel,The Four Horsemen,Fade to Black,That Was Just Your Life,The End of the Line,Sad But True,Broken,Beat & Scarred,The Judas Kiss,One,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
21.01.2010,Buenos Aires,,Argentina,-34.6036844,-58.3815591,World Magnetic,1,18,0,3,1,3,4,0,0,0,0,4,0,Creeping Death,For Whom the Bell Tolls,Wherever I May Roam,Harvester of Sorrow,Fade to Black,That Was Just Your Life,The End of the Line,Sad But True,Cyanide,All Nightmare Long,One,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,,Seek and Destroy
19.01.2010,Lima,,Peru,-12.0463731,-77.042754,World Magnetic,1,18,0,3,2,2,3,0,1,0,0,4,0,Creeping Death,For Whom the Bell Tolls,Fuel,Harvester of Sorrow,Fade to Black,That Was Just Your Life,The End of the Line,Sad But True,Broken,Beat & Scarred,Cyanide,One,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
12.12.2009,San Jose,California,United States,37.3382082,-121.8863286,World Magnetic,1,18,0,3,1,2,3,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Ride the Lightning,Harvester of Sorrow,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,My Apocalypse,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
10.12.2009,Anaheim,California,United States,33.8365932,-117.9143012,World Magnetic,1,18,0,2,2,2,3,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,The Shortest Straw,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,The Judas Kiss,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
08.12.2009,Sacramento,California,United States,38.5815719,-121.4943996,World Magnetic,1,18,0,3,1,1,3,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,Fuel,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
07.12.2009,Boise,Idaho,United States,43.6150186,-116.2023137,World Magnetic,1,18,0,2,2,1,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Holier Than Thou,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
05.12.2009,Las Vegas,Nevada,United States,36.1699412,-115.1398296,World Magnetic,1,18,0,3,1,1,3,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,Ride the Lightning,The Memory Remains,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
15.11.2009,New York,New York,United States,40.7127753,-74.0059728,World Magnetic,1,18,0,2,1,3,3,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,The Shortest Straw,Fade to Black,Broken,Beat & Scarred,My Apocalypse,Sad But True,One,The Judas Kiss,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
14.11.2009,New York,New York,United States,40.7127753,-74.0059728,World Magnetic,1,18,0,2,1,1,4,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Holier Than Thou,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
12.11.2009,Albany,New York,United States,42.6525793,-73.7562317,World Magnetic,1,18,0,1,3,1,3,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,Ride the Lightning,The Memory Remains,One,Broken,Beat & Scarred,Cyanide,Sad But True,Welcome Home (Sanitarium),All Nightmare Long,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
10.11.2009,Buffalo,New York,United States,42.8864468,-78.8783689,World Magnetic,1,18,1,1,2,1,3,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,No Remorse,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
09.11.2009,Grand Rapids,Michigan,United States,42.9633599,-85.6680863,World Magnetic,1,18,1,2,1,1,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,The Four Horsemen,One,Broken,Beat & Scarred,Cyanide,Sad But True,The Unforgiven,My Apocalypse,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
03.11.2009,Ottawa,Ontario,Canada,45.4215296,-75.6971931,World Magnetic,1,18,0,2,2,1,3,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,Fuel,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
01.11.2009,Quebec City,Quebec,Canada,46.8138783,-71.2079809,World Magnetic,1,18,1,0,3,2,3,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,The Four Horsemen,The Shortest Straw,One,Broken,Beat & Scarred,My Apocalypse,Sad But True,Welcome Home (Sanitarium),The Judas Kiss,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
31.10.2009,Quebec City,Quebec,Canada,46.8138783,-71.2079809,World Magnetic,1,18,0,1,2,1,4,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Holier Than Thou,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
30.10.2009,New York,New York,United States,40.7127753,-74.0059728,,0,11,0,1,0,1,1,0,0,2,0,0,0,For Whom the Bell Tolls,One,Turn the Page,Sweet Jane,White Light/White Heat,Iron Man,Paranoid,You Really Got Me,All Day and All of the Night,Stone Cold Crazy,Enter Sandman,,,,,,,,,,,,,,,,,
29.10.2009,Ottawa,Ontario,Canada,45.4215296,-75.6971931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.10.2009,Toronto,Ontario,Canada,43.653226,-79.3831843,World Magnetic,1,18,0,1,1,2,5,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Holier Than Thou,One,Broken,Beat & Scarred,My Apocalypse,Sad But True,The Unforgiven,The Judas Kiss,The Day That Never Comes,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
26.10.2009,Toronto,Ontario,Canada,43.653226,-79.3831843,World Magnetic,1,18,0,3,1,1,3,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,Ride the Lightning,The Memory Remains,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
18.10.2009,Charlotte,North Carolina,United States,35.2270869,-80.8431267,World Magnetic,1,18,1,2,1,1,3,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,The Four Horsemen,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,The Judas Kiss,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
17.10.2009,Charlottesville,Virginia,United States,38.0293059,-78.4766781,World Magnetic,1,18,0,2,1,2,3,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,Fuel,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,My Apocalypse,The Day That Never Comes,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
15.10.2009,Cleveland,Ohio,United States,41.49932,-81.6943605,World Magnetic,1,18,0,1,1,4,3,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Harvester of Sorrow,The Shortest Straw,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,The Judas Kiss,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
13.10.2009,Minneapolis,Minnesota,United States,44.977753,-93.2650108,World Magnetic,1,18,0,2,2,1,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Ride the Lightning,Holier Than Thou,One,Broken,Beat & Scarred,Cyanide,Sad But True,Welcome Home (Sanitarium),All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
12.10.2009,Winnipeg,Manitoba,Canada,49.895136,-97.1383744,World Magnetic,1,18,0,1,2,1,4,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,The Memory Remains,One,Broken,Beat & Scarred,Cyanide,Sad But True,The Unforgiven,All Nightmare Long,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
04.10.2009,Atlanta,Georgia,United States,33.7489954,-84.3879824,World Magnetic,1,18,1,1,2,2,3,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Ride the Lightning,No Remorse,One,Broken,Beat & Scarred,Cyanide,Sad But True,Welcome Home (Sanitarium),All Nightmare Long,The Day That Never Comes,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
03.10.2009,Tampa,Florida,United States,27.950575,-82.4571776,World Magnetic,1,18,0,0,3,2,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Harvester of Sorrow,Through the Never,One,Broken,Beat & Scarred,Cyanide,Sad But True,Welcome Home (Sanitarium),All Nightmare Long,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
01.10.2009,Ft. Lauderdale,Florida,United States,26.1224386,-80.1373174,World Magnetic,1,18,0,1,2,2,3,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,The Shortest Straw,One,Broken,Beat & Scarred,Cyanide,Sad But True,No Leaf Clover,All Nightmare Long,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
29.09.2009,Dallas,Texas,United States,32.7766642,-96.7969879,World Magnetic,1,18,1,0,1,2,5,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,The Four Horsemen,Holier Than Thou,One,Broken,Beat & Scarred,Cyanide,Sad But True,The Unforgiven,All Nightmare Long,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
28.09.2009,San Antonio,Texas,United States,29.4241219,-98.4936282,World Magnetic,1,18,0,1,2,1,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,I Disappear,One,Broken,Beat & Scarred,Cyanide,Sad But True,The Unforgiven,All Nightmare Long,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
20.09.2009,Montreal,Quebec,Canada,45.5016889,-73.567256,World Magnetic,1,18,0,0,1,2,5,0,0,0,0,7,0,That Was Just Your Life,The End of the Line,Harvester of Sorrow,Of Wolf and Man,One,Broken,Beat & Scarred,Cyanide,Sad But True,The Unforgiven,The Judas Kiss,The Day That Never Comes,Master of Puppets,My Apocalypse,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
19.09.2009,Montreal,Quebec,Canada,45.5016889,-73.567256,World Magnetic,1,18,0,1,1,3,3,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,The Shortest Straw,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
17.09.2009,Indianapolis,Indiana,United States,39.768403,-86.158068,World Magnetic,1,18,0,1,3,1,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Ride the Lightning,Wherever I May Roam,One,Broken,Beat & Scarred,Cyanide,Sad But True,Welcome Home (Sanitarium),All Nightmare Long,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
15.09.2009,Cincinnati,Ohio,United States,39.1031182,-84.5120196,World Magnetic,1,18,0,2,1,1,4,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Fuel,One,Broken,Beat & Scarred,Cyanide,Sad But True,The Unforgiven,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
14.09.2009,Nashville,Tennessee,United States,36.1626638,-86.7816016,World Magnetic,1,18,0,1,2,1,4,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,Holier Than Thou,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
11.09.2009,San Rafael,California,United States,37.9735346,-122.5310874,,1,15,0,3,2,2,3,0,1,0,0,2,0,Creeping Death,For Whom the Bell Tolls,Fuel,Harvester of Sorrow,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,,,Seek and Destroy
02.08.2009,Stevenage,,England,51.903761,-0.196612,World Magnetic,1,18,0,2,1,3,4,0,1,0,0,4,0,Blackened,Creeping Death,Fuel,Of Wolf and Man,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
01.08.2009,Dublin,,Ireland,53.3498053,-6.2603097,World Magnetic,1,18,0,2,1,3,3,0,0,2,0,4,0,Blackened,Creeping Death,Whiskey in the Jar,Harvester of Sorrow,Turn the Page,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
30.07.2009,Oslo,,Norway,59.9138688,10.7522454,World Magnetic,1,18,0,1,2,2,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Holier Than Thou,One,Broken,Beat & Scarred,My Apocalypse,Sad But True,Welcome Home (Sanitarium),The Judas Kiss,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
28.07.2009,Copenhagen,,Denmark,55.6760968,12.5683372,World Magnetic,1,18,0,1,4,1,4,0,0,0,0,5,0,That Was Just Your Life,The End of the Line,Disposable Heroes,Of Wolf and Man,Fade to Black,Cyanide,My Apocalypse,Sad But True,One,The Thing That Should Not Be,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,,Seek and Destroy
27.07.2009,Copenhagen,,Denmark,55.6760968,12.5683372,World Magnetic,1,18,0,1,2,2,3,0,1,0,0,5,0,That Was Just Your Life,The End of the Line,Ride the Lightning,The Memory Remains,One,Broken,Beat & Scarred,Leper Messiah,Sad But True,No Leaf Clover,Suicide & Redemption,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
25.07.2009,Pori,,Finland,61.4851393,21.7974179,World Magnetic,1,18,0,2,2,3,3,0,1,0,0,4,0,Battery,Creeping Death,Fuel,Harvester of Sorrow,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
23.07.2009,Copenhagen,,Denmark,55.6760968,12.5683372,World Magnetic,1,18,1,1,2,2,4,0,0,0,0,5,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Wherever I May Roam,One,Broken,Beat & Scarred,No Remorse,Sad But True,Welcome Home (Sanitarium),My Apocalypse,The Day That Never Comes,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
22.07.2009,Copenhagen,,Denmark,55.6760968,12.5683372,World Magnetic,1,18,1,1,2,1,5,0,0,0,0,5,0,That Was Just Your Life,The End of the Line,Creeping Death,Holier Than Thou,One,Broken,Beat & Scarred,The Four Horsemen,Sad But True,The Unforgiven,The Judas Kiss,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
20.07.2009,Copenhagen,,Denmark,55.6760968,12.5683372,World Magnetic,1,18,0,1,1,2,3,0,1,1,0,6,0,That Was Just Your Life,The End of the Line,Harvester of Sorrow,Fuel,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
18.07.2009,Hultsfred,,Sweden,57.49484,15.8416513,World Magnetic,1,18,0,2,2,2,4,0,1,0,0,4,0,Battery,Creeping Death,Fuel,Of Wolf and Man,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
16.07.2009,Zurich,,Switzerland,47.3768866,8.541694,World Magnetic,1,18,0,0,1,3,4,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,Harvester of Sorrow,Holier Than Thou,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
14.07.2009,Madrid,,Spain,40.4167754,-3.7037902,World Magnetic,1,18,1,1,2,0,3,0,1,0,0,6,0,That Was Just Your Life,The End of the Line,The Four Horsemen,The Memory Remains,Fade to Black,Broken,Beat & Scarred,My Apocalypse,Sad But True,No Leaf Clover,The Judas Kiss,The Day That Never Comes,Master of Puppets,Damage,Inc.,Nothing Else Matters,Enter Sandman,,,,,,,,,,,Seek and Destroy
13.07.2009,Madrid,,Spain,40.4167754,-3.7037902,World Magnetic,1,18,0,1,2,1,4,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,Holier Than Thou,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Battery,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
11.07.2009,Barcelona,,Spain,41.3850639,2.1734035,World Magnetic,1,18,1,3,1,2,4,0,0,0,0,4,0,Fight Fire with Fire,Creeping Death,No Remorse,Of Wolf and Man,Fade to Black,Broken,Beat & Scarred,My Apocalypse,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Blackened,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
09.07.2009,Lisbon,,Portugal,38.7222524,-9.1393366,World Magnetic,1,18,0,3,2,2,4,0,0,0,0,4,0,Blackened,For Whom the Bell Tolls,Holier Than Thou,Leper Messiah,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
07.07.2009,Nimes,,France,43.836699,4.360054,World Magnetic,1,18,0,2,1,4,3,0,1,0,0,4,0,Blackened,Creeping Death,Fuel,Harvester of Sorrow,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
05.07.2009,Werchter,,Belgium,50.9712194,4.6942009,World Magnetic,1,18,0,2,2,3,4,0,0,0,0,4,0,Blackened,For Whom the Bell Tolls,Creeping Death,Of Wolf and Man,One,Broken,Beat & Scarred,Cyanide,Sad But True,Welcome Home (Sanitarium),All Nightmare Long,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
04.07.2009,Hockenheim,,Germany,49.319552,8.5498581,World Magnetic,1,18,0,3,1,1,4,0,1,0,0,5,0,Fight Fire with Fire,Ride the Lightning,Holier Than Thou,Fuel,Fade to Black,Broken,Beat & Scarred,Cyanide,Sad But True,One,All Nightmare Long,The Day That Never Comes,Master of Puppets,My Apocalypse,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
24.06.2009,Rome,,Italy,41.9027835,12.4963655,World Magnetic,1,18,0,1,1,2,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Creeping Death,Of Wolf and Man,One,Broken,Beat & Scarred,Cyanide,Sad But True,No Leaf Clover,The Judas Kiss,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
22.06.2009,Milan,,Italy,45.4642035,9.189982,World Magnetic,1,18,0,1,2,1,3,0,1,1,0,6,0,That Was Just Your Life,The End of the Line,Disposable Heroes,The Memory Remains,One,Broken,Beat & Scarred,My Apocalypse,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
20.06.2009,Nijmegen,,Netherlands,51.8448837,5.8428281,World Magnetic,1,18,0,1,2,4,4,0,0,0,0,4,0,Blackened,Creeping Death,Holier Than Thou,Harvester of Sorrow,One,Broken,Beat & Scarred,Cyanide,Sad But True,Welcome Home (Sanitarium),The Judas Kiss,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
19.06.2009,Nickelsdorf,,Austria,47.9415942,17.0707582,World Magnetic,1,18,1,0,2,3,3,0,1,0,0,4,0,Blackened,Fuel,No Remorse,Leper Messiah,One,Broken,Beat & Scarred,My Apocalypse,Sad But True,No Leaf Clover,The Judas Kiss,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
17.06.2009,Oslo,,Norway,59.9138688,10.7522454,World Magnetic,1,18,1,1,1,2,3,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,Harvester of Sorrow,The Four Horsemen,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
15.06.2009,Helsinki,,Finland,60.1698557,24.9383791,World Magnetic,1,18,0,0,3,2,4,0,0,0,0,6,0,That Was Just Your Life,The End of the Line,Leper Messiah,Holier Than Thou,One,Broken,Beat & Scarred,My Apocalypse,Sad But True,Welcome Home (Sanitarium),The Judas Kiss,The Day That Never Comes,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
14.06.2009,Helsinki,,Finland,60.1698557,24.9383791,World Magnetic,1,18,1,2,1,1,3,0,0,1,0,6,0,That Was Just Your Life,The End of the Line,For Whom the Bell Tolls,No Remorse,One,Broken,Beat & Scarred,Cyanide,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
07.06.2009,Mexico City,,Mexico,19.4326077,-99.133208,World Magnetic,1,18,0,2,1,4,4,0,1,0,0,3,0,Creeping Death,Fuel,Wherever I May Roam,Harvester of Sorrow,Fade to Black,Cyanide,...And Justice for All,Sad But True,The Day That Never Comes,All Nightmare Long,One,Master of Puppets,Dyers Eve,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,,Seek and Destroy
06.06.2009,Mexico City,,Mexico,19.4326077,-99.133208,World Magnetic,1,18,0,4,2,1,3,0,1,1,0,3,0,Creeping Death,For Whom the Bell Tolls,Ride the Lightning,Disposable Heroes,One,Broken,Beat & Scarred,The Memory Remains,Sad But True,Turn the Page,All Nightmare Long,The Day That Never Comes,Master of Puppets,Fight Fire with Fire,Nothing Else Matters,Enter Sandman,,,,,,,,,,,,Seek and Destroy
